"","train.X.V.","TrainingPredicted"
"1",14.071,14.2464833966464
"2",14.954,14.9363050535984
"3",29.611,29.8616193355806
"4",11.17,10.9614813869756
"5",13.523,13.3284471508274
"6",7.5748,6.71387412732454
"7",14.895,14.9344108350269
"8",18.772,18.5973458748714
"9",23.853,23.8360456750553
"10",6.5617,6.47141051625831
"11",6.792,6.55109348005914
"12",20.591,20.6342668464938
"13",22.85,22.424886620819
"14",20.239,20.7322114419027
"15",16.886,16.8283975892638
"16",19.702,20.2092663035243
"17",8.2522,8.06598081656588
"18",9.9852,10.0914538507883
"19",31.144,31.0900781527336
"20",28.655,28.4195703124404
"21",22.036,21.9671440420673
"22",13.41,13.4318907078351
"23",30.38,31.1465803783448
"24",9.7491,9.95976916403718
"25",19.865,19.8481480324904
"26",19.357,19.4056450102093
"27",30.076,30.2998693661174
"28",18.973,18.8900195260112
"29",15.162,15.2000036035816
"30",40.066,37.8362642245227
"31",15.467,15.4730795630778
"32",9.211,9.27301381694342
"33",11.75,12.0788912149552
"34",30.794,30.9579133262
"35",20.099,20.1310279369207
"36",14.982,14.8487227271958
"37",18.754,18.6672302634501
"38",6.3024,6.38923530447945
"39",18.019,14.34848732054
"40",8.7898,8.87257132965203
"41",15.62,15.0507595508339
"42",22.931,23.2866712882523
"43",24.967,25.2157100828552
"44",17.782,18.3407352587765
"45",12.739,12.785528271473
"46",24.501,24.5622131335526
"47",12.128,11.9609112935534
"48",16.29,16.0076721971838
"49",30.005,29.9683898527929
"50",20.752,20.8864690170519
"51",21.783,21.6199499832391
"52",19.585,19.4337435939018
"53",19.303,20.5333027353356
"54",14.944,14.7303593102125
"55",20.609,20.5677994358882
"56",17.704,17.1201453494786
"57",14.742,14.9188785678437
"58",16.984,17.2294121323567
"59",20.988,20.943880411448
"60",10.888,10.8371627859988
"61",15.674,15.4520735505047
"62",32.936,33.1197451564763
"63",30.57,30.4212383939573
"64",14.942,14.7737877348814
"65",27.834,27.9417525122677
"66",15.989,16.1481314893195
"67",25.882,26.0079874391883
"68",27.337,27.1638137035249
"69",18.646,18.8405772752371
"70",15.701,15.5720639146757
"71",20.577,20.4878302563766
"72",19.74,20.3761755555885
"73",8.2851,8.0364138626677
"74",6.9871,7.25282782162022
"75",14.761,14.6699143341998
"76",17.063,17.0922448697451
"77",31.493,31.8503936992494
"78",7.9693,7.90049113796976
"79",22.364,22.4507169671055
"80",13.323,13.1595354740169
"81",8.3277,8.98144306224006
"82",11.644,11.963921506515
"83",23.317,23.3767405866644
"84",19.785,19.9180227581095
"85",17.903,17.9230484463928
"86",30.8,30.5724763617792
"87",12.371,12.5579597487479
"88",12.181,12.3380130633011
"89",13.915,13.8114708834975
"90",28.333,28.6012117469107
"91",25.695,25.791903652224
"92",26.357,26.4846202191783
"93",27.962,28.0149766224045
"94",31.209,31.0968919360682
"95",21.592,21.2749914478435
"96",14.453,13.7844758945563
"97",8.9511,8.6024908373611
"98",23.505,23.3469322727207
"99",9.7609,9.78679348424269
"100",29.804,31.6340829502006
"101",17.657,17.8735616015544
"102",23.691,23.5533110491727
"103",17.654,17.4884258844737
"104",6.33,6.493404667004
"105",23.366,23.0337302258866
"106",7.3045,6.98834377719595
"107",13.321,13.2933846307831
"108",30.486,30.4007626348674
"109",25.498,25.3566232447443
"110",18.421,18.0488359661839
"111",9.7555,9.49709563170432
"112",8.8391,8.90789289890534
"113",17.518,17.1029026561988
"114",16.723,16.4397858040287
"115",25.403,25.5857533399668
"116",11.178,11.4834561263139
"117",14.98,14.926681074087
"118",15.531,15.6153334905262
"119",24.971,24.7750483540869
"120",23.429,24.3042166679192
"121",9.1029,8.98780210764837
"122",6.6493,7.19727257935035
"123",24.132,24.563021390107
"124",18.084,17.922942276849
"125",28.887,28.8064661710432
"126",18.915,17.8413251052208
"127",21.1,21.2980891034184
"128",22.996,23.1615741807958
"129",8.0753,8.30180407650745
"130",19.316,19.4734254674473
"131",14.324,15.8929638664879
"132",14.275,14.3849458252209
"133",30.893,31.1943362170836
"134",19.861,19.8321087790405
"135",8.1021,7.75522216125567
"136",9.0715,9.18418470977205
"137",15.946,16.1504560042911
"138",7.9365,8.11406041408774
"139",20.124,20.0282596705741
"140",12.916,12.7418126916293
"141",27.273,27.2839535951334
