"","trainset.X.V","TrainingPredicted"
"396",25.498,24.9343468466224
"114",18.421,19.8448231696471
"71",9.7555,9.094471889454
"68",8.8391,9.11970583605461
"159",17.518,16.94060341514
"164",16.723,16.3348591223096
"303",25.403,25.8335209315534
"376",11.178,11.3323456563417
"424",14.98,15.4245664173155
"6",15.531,15.6221967850287
"402",24.971,24.552285618672
"430",23.429,25.5116455082935
"224",9.1029,9.05302011298221
"347",6.6493,7.17183085766556
"405",24.132,23.7977418563508
"361",18.084,17.8297963699383
"293",28.887,28.9212480822201
"115",18.915,19.8100504512735
"414",21.1,21.2499002075797
"410",22.996,22.6887959310252
"73",8.0753,8.29797433518813
"418",19.316,18.2211661789329
"428",14.324,15.8259995989757
"319",14.275,14.3769402323018
"82",30.893,30.6978491447222
"239",19.861,19.8822164340119
"194",8.1021,8.15151563887304
"72",9.0715,8.7094070872181
"208",15.946,16.2146410294746
"74",7.9365,8.14770077881487
"110",20.124,20.5458540047528
"264",12.916,13.9797403447031
"299",27.273,27.1563535796595
"403",24.778,24.6080668713174
"95",28.981,28.7101030361309
"446",23.666,23.2505954642901
"127",31.179,31.2213753057054
"157",17.627,17.0928014538596
"204",17.496,17.5802647083502
"425",15.26,15.4044807967071
"241",19.287,19.5560624703979
"302",25.844,26.0326128479555
"459",16.791,17.3320068280059
"455",19.297,19.6400744032684
"77",8.2936,9.90000673540471
"19",12.38,12.602977208666
"216",12.256,12.2116093237388
"47",18.188,17.8674491986754
"123",31.505,31.3520050578007
"32",6.3824,6.92962425211742
"211",14.46,14.8468841636571
"453",20.318,20.7612635137139
"232",6.7587,7.79181171328713
"421",17.243,17.2816266934027
"251",18.059,18.2831539940919
"28",8.5887,8.50749001412333
"427",14.046,15.2772227793973
"191",6.1766,6.8780974676724
"367",15.617,15.3923690762784
"42",19.851,19.5943053309348
"261",14.888,14.8523004862239
"269",12.204,13.5632748105339
"186",8.4323,8.32204340302597
"219",10.871,11.1762061363499
"275",36.014,33.9734373361542
"262",13.789,14.6142446554127
"408",23.607,23.2179498949741
"447",23.199,23.0366076003553
"393",25.356,24.8685455923395
"229",7.4007,7.72203669642072
"141",28.188,27.8570676311965
"131",31.203,31.0507788703066
"103",25.241,24.7270420607906
